Год;Месяц;Канал;Бренд;Диапазон веса;Сумма (в 1000);Штуки (в 1000 шт);Штуки (в шт);Точки;Офтейк (штук на точку);Цена за штуку;Средний вес;Цена за грамм; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2021;3;Supermarkets;Pale;400-599G;198,85;0,52;524;1;524;379,42;499,5;0,76;;;;;;;;;;;;;;
2021;3;Supermarkets;Moderate;350-399G;197,97;1,00;1002;118;8;197,65;374,5;0,53;;;;;;;;;;;;;;
2021;4;Hypermarkets;Green;200-249G;961,06;14,33;14329;565;25;67,07;224,5;0,30;;;;;;;;;;;;;;
2021;4;Hypermarkets;Green;350-399G;5 859,28;58,09;58089;796;73;100,87;374,5;0,27;;;;;;;;;;;;;;
2021;4;Hypermarkets;Green;400-599G;2 930,86;21,52;21519;571;38;136,20;499,5;0,27;;;;;;;;;;;;;;
2021;4;Hypermarkets;Blue;200-249G;10,43;0,08;84;11;8;124,90;224,5;0,56;;;;;;;;;;;;;;
2021;4;Hypermarkets;Blue;400-599G;3 419,52;15,41;15408;628;25;221,93;499,5;0,44;;;;;;;;;;;;;;
2021;4;Hypermarkets;Yellow;350-399G;308,45;4,04;4040;232;17;76,35;374,5;0,20;;;;;;;;;;;;;;
2021;4;Hypermarkets;White;<200G;305,05;2,77;2769;111;25;110,17;200;0,55;;;;;;;;;;;;;;
2021;4;Hypermarkets;Black;200-249G;138,82;2,11;2112;261;8;65,72;224,5;0,29;;;;;;;;;;;;;;
2021;4;Hypermarkets;Black;400-599G;59,12;0,55;554;111;5;106,69;499,5;0,21;;;;;;;;;;;;;;
2021;4;Hypermarkets;Orange;250-299G;17,03;0,05;48;21;2;356,23;274,5;1,30;;;;;;;;;;;;;;
2021;4;Hypermarkets;Orange;400-599G;122,81;0,95;946;131;7;129,76;499,5;0,26;;;;;;;;;;;;;;
2021;4;Hypermarkets;Red;350-399G;91,44;0,65;653;61;11;139,94;374,5;0,37;;;;;;;;;;;;;;
2021;4;Hypermarkets;Brown;<200G;46,87;0,54;538;91;6;87,09;200;0,44;;;;;;;;;;;;;;
2021;4;Hypermarkets;Brown;400-599G;2,10;0,02;17;6;3;120,48;499,5;0,24;;;;;;;;;;;;;;
2021;4;Hypermarkets;Purple;400-599G;45,81;0,25;255;154;2;179,92;499,5;0,36;;;;;;;;;;;;;;
2021;4;Hypermarkets;Lime;400-599G;42,24;0,21;213;1;213;198,67;499,5;0,40;;;;;;;;;;;;;;
2021;4;Minimarkets;Green;200-249G;2 655,29;37,37;37369;6542;6;71,06;224,5;0,32;;;;;;;;;;;;;;
2021;4;Minimarkets;Green;350-399G;5 564,25;56,98;56981;9222;6;97,65;374,5;0,26;;;;;;;;;;;;;;
2021;4;Minimarkets;Green;400-599G;594,29;4,01;4012;625;6;148,13;499,5;0,30;;;;;;;;;;;;;;
2021;4;Minimarkets;Green;600-899G;65,34;0,39;388;213;2;168,32;749,5;0,22;;;;;;;;;;;;;;
2021;4;Minimarkets;Blue;200-249G;0,77;0,01;6;3;2;130,59;224,5;0,58;;;;;;;;;;;;;;
2021;4;Minimarkets;Blue;400-599G;1 136,39;5,96;5963;846;7;190,58;499,5;0,38;;;;;;;;;;;;;;
2021;4;Minimarkets;Yellow;350-399G;993,91;16,91;16906;1853;9;58,79;374,5;0,16;;;;;;;;;;;;;;
2021;4;Minimarkets;Black;200-249G;360,73;5,19;5191;1868;3;69,49;224,5;0,31;;;;;;;;;;;;;;
